Edge TPU Compiler version 16.0.384591198
Input: ESRGAN_quant_256.tflite
Output: ESRGAN_quant_256_edgetpu.tflite

Operator                       Count      Status

LEAKY_RELU                     136        Operation not supported
CONCATENATION                  132        More than one subgraph is not supported
ADD                            45         More than one subgraph is not supported
DEQUANTIZE                     1          Operation is working on an unsupported data type
MUL                            11         More than one subgraph is not supported
QUANTIZE                       420        More than one subgraph is not supported
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
TRANSPOSE_CONV                 2          More than one subgraph is not supported
CONV_2D                        1          Mapped to Edge TPU
CONV_2D                        168        More than one subgraph is not supported
